time_s,lat_deg,lon_deg,alt_m
12.413850699,47.3979714,8.5461648,47.61322694514462
12.433741955,47.3979715,8.5461649,47.615226852651794
12.454331127,47.3979715,8.546165,47.617226713097246
12.474370929,47.3979715,8.546165,47.61822671309725
12.494889672,47.3979715,8.5461652,47.62022643398816
12.514792381,47.3979715,8.5461653,47.62122629443359
12.528633611,47.3979674,8.5461629,47.96422771431918
12.533963257,47.3979715,8.5461654,47.622226154879016
12.554699068,47.3979715,8.5461655,47.62222601532444
12.575678218,47.3979715,8.5461657,47.623225736215325
12.594978255,47.3979715,8.5461657,47.62422573621533
12.613738924,47.3979715,8.5461659,47.625225457106154
12.634051165,47.3979714,8.546166,47.62522527049012
12.649556432,47.3979702,8.5461697,48.20621954225411
12.65451781,47.3979714,8.5461662,47.624224991381006
12.674038502,47.3979714,8.5461663,47.6232248518264
12.695153939,47.3979713,8.5461665,47.62222452565611
12.713494205,47.3979713,8.5461666,47.62122438610154
12.733066712,47.3979713,8.5461669,47.61822396743788
12.753194342,47.3979712,8.546167,47.61522378082238
12.774072585,47.3979712,8.5461672,47.609223501713295
12.777507263,47.3979706,8.5461636,47.75022824330807
12.79430437,47.3979712,8.5461673,47.611223362158746
12.815152203,47.3979712,8.5461674,47.62222322260418
12.834108958,47.3979713,8.5461674,47.637223269664986
12.854065282,47.3979713,8.5461673,47.656223409219585
12.874281166,47.3979714,8.5461673,47.66622345628056
12.894568218,47.3979714,8.5461673,47.67822345628056
12.906667122,47.3979724,8.5461694,47.88522099624678
12.914437364,47.3979714,8.5461673,47.68422345628056
12.933959194,47.3979714,8.5461672,47.690223595835164
12.954651155,47.3979714,8.5461672,47.692223595835166
12.974606905,47.3979713,8.5461672,47.69622354877416
12.994238318,47.3979713,8.5461673,47.69822340921959
13.014547619,47.3979712,8.5461673,47.700223362158745
13.027535213,47.3979692,8.5461662,46.90222395606902
13.034476503,47.3979711,8.5461674,47.70122317554351
13.05424063,47.3979711,8.5461675,47.70222303598899
13.074654575,47.397971,8.5461676,47.70222284937395
13.093484884,47.3979709,8.5461678,47.699222523204654
13.11347297,47.3979707,8.5461679,47.71222228953011
13.134354433,47.3979705,8.5461681,47.73722191630191
13.154371421,47.3979703,8.5461682,47.751221682628845
13.154770385,47.3979665,8.5461636,48.4802263139487
13.173863858,47.39797,8.5461684,47.769221262343414
13.194852957,47.3979698,8.5461686,47.77922088911788
13.214523713,47.3979696,8.5461688,47.79222051589312
13.233924546,47.3979694,8.5461689,47.798220282223326
13.254070594,47.3979692,8.546169,47.80422004855424
13.274472187,47.397969,8.5461692,47.806219675331775
13.281687181,47.3979705,8.5461682,48.03222177674748
13.293986625,47.3979689,8.5461693,47.80421948872086
